id,answer_id,question_id,value_text,value_option_ids,value_scale,value_bool,value_date,created_at,updated_at
110,52,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
111,53,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
112,53,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
113,54,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
114,54,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
115,55,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
116,55,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
117,56,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
118,56,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
119,57,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
120,57,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
121,58,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
122,58,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
123,58,3,朝の確認が一画面で済むと助かります。,,,,,2026-05-10T20:00:00,2026-05-10T20:00:00
124,59,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
125,59,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
126,60,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
127,60,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
128,61,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
129,61,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
130,62,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
131,62,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
132,63,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
133,63,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
134,64,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
135,64,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
136,65,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
137,65,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
138,65,3,朝の確認が一画面で済むと助かります。,,,,,2026-05-10T20:00:00,2026-05-10T20:00:00
139,66,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
140,66,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
141,67,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
142,67,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
143,68,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
144,68,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
