id,child_id,attendance_date,check_in_at,check_out_at,planned_pickup_time,pickup_person,note,created_at,updated_at
23,63,2026-04-13,2026-04-13T07:32:00,2026-04-13T18:03:00,18:03,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
24,9,2026-04-13,2026-04-13T08:17:00,2026-04-13T17:42:00,17:42,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
25,41,2026-04-13,2026-04-13T07:27:00,2026-04-13T17:20:00,17:20,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
26,10,2026-04-13,2026-04-13T08:22:00,2026-04-13T17:51:00,17:51,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
27,42,2026-04-13,2026-04-13T07:32:00,2026-04-13T17:29:00,17:29,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
28,4,2026-04-13,2026-04-13T07:52:00,2026-04-13T16:57:00,16:57,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
29,24,2026-04-13,2026-04-13T07:47:00,2026-04-13T17:22:00,17:22,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
30,5,2026-04-13,2026-04-13T07:57:00,2026-04-13T17:06:00,17:06,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
31,64,2026-04-13,2026-04-13T07:37:00,2026-04-13T18:12:00,18:12,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
32,6,2026-04-13,2026-04-13T08:02:00,2026-04-13T17:15:00,17:15,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
33,11,2026-04-13,2026-04-13T08:27:00,2026-04-13T18:00:00,18:00,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
34,12,2026-04-13,2026-04-13T08:32:00,2026-04-13T18:09:00,18:09,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
35,13,2026-04-13,2026-04-13T08:37:00,2026-04-13T18:18:00,18:18,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
36,14,2026-04-13,2026-04-13T08:42:00,2026-04-13T18:27:00,18:27,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
37,15,2026-04-13,2026-04-13T08:47:00,2026-04-13T18:36:00,18:36,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
38,16,2026-04-13,,,,,欠席連絡あり,2026-04-13T07:00:00,2026-04-13T18:30:00
39,17,2026-04-13,2026-04-13T08:57:00,2026-04-13T16:19:00,16:19,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
40,18,2026-04-13,2026-04-13T09:02:00,2026-04-13T16:28:00,16:28,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
41,25,2026-04-13,2026-04-13T07:52:00,2026-04-13T17:31:00,17:31,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
42,26,2026-04-13,2026-04-13T07:57:00,2026-04-13T17:40:00,17:40,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
43,27,2026-04-13,2026-04-13T08:02:00,2026-04-13T17:49:00,17:49,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
44,28,2026-04-13,2026-04-13T08:07:00,2026-04-13T17:58:00,17:58,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
45,29,2026-04-13,2026-04-13T08:12:00,2026-04-13T18:07:00,18:07,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
46,30,2026-04-13,2026-04-13T08:17:00,2026-04-13T18:16:00,18:16,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
47,31,2026-04-13,2026-04-13T08:22:00,2026-04-13T18:25:00,18:25,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
48,32,2026-04-13,2026-04-13T08:27:00,2026-04-13T18:34:00,18:34,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
49,33,2026-04-13,2026-04-13T08:32:00,2026-04-13T18:43:00,18:43,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
50,34,2026-04-13,2026-04-13T08:37:00,2026-04-13T16:17:00,16:17,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
51,35,2026-04-13,2026-04-13T08:42:00,2026-04-13T16:26:00,16:26,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
52,36,2026-04-13,2026-04-13T08:47:00,2026-04-13T16:35:00,16:35,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
53,43,2026-04-13,,,,,欠席連絡あり,2026-04-13T07:00:00,2026-04-13T18:30:00
54,44,2026-04-13,2026-04-13T07:42:00,2026-04-13T17:47:00,17:47,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
55,45,2026-04-13,2026-04-13T07:47:00,2026-04-13T17:56:00,17:56,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
56,46,2026-04-13,2026-04-13T07:52:00,2026-04-13T18:05:00,18:05,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
57,47,2026-04-13,2026-04-13T07:57:00,2026-04-13T18:14:00,18:14,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
58,48,2026-04-13,2026-04-13T08:02:00,2026-04-13T18:23:00,18:23,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
59,49,2026-04-13,2026-04-13T08:07:00,2026-04-13T18:32:00,18:32,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
60,50,2026-04-13,2026-04-13T08:12:00,2026-04-13T18:41:00,18:41,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
61,51,2026-04-13,2026-04-13T08:17:00,2026-04-13T16:15:00,16:15,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
62,52,2026-04-13,2026-04-13T08:22:00,2026-04-13T16:24:00,16:24,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
63,53,2026-04-13,2026-04-13T08:27:00,2026-04-13T16:33:00,16:33,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
64,54,2026-04-13,2026-04-13T08:32:00,2026-04-13T16:42:00,16:42,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
65,55,2026-04-13,2026-04-13T08:37:00,2026-04-13T16:51:00,16:51,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
66,56,2026-04-13,2026-04-13T08:42:00,2026-04-13T17:00:00,17:00,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
67,57,2026-04-13,2026-04-13T08:47:00,2026-04-13T17:09:00,17:09,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
68,58,2026-04-13,2026-04-13T08:52:00,2026-04-13T17:18:00,17:18,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
69,65,2026-04-13,2026-04-13T07:42:00,2026-04-13T18:21:00,18:21,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
70,66,2026-04-13,2026-04-13T07:47:00,2026-04-13T18:30:00,18:30,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
71,67,2026-04-13,2026-04-13T07:52:00,2026-04-13T18:39:00,18:39,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
72,68,2026-04-13,2026-04-13T07:57:00,2026-04-13T16:13:00,16:13,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
73,69,2026-04-13,2026-04-13T08:02:00,2026-04-13T16:22:00,16:22,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
74,70,2026-04-13,,,,,欠席連絡あり,2026-04-13T07:00:00,2026-04-13T18:30:00
75,71,2026-04-13,2026-04-13T08:12:00,2026-04-13T16:40:00,16:40,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
76,72,2026-04-13,2026-04-13T08:17:00,2026-04-13T16:49:00,16:49,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
77,73,2026-04-13,2026-04-13T08:22:00,2026-04-13T16:58:00,16:58,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
78,74,2026-04-13,2026-04-13T08:27:00,2026-04-13T17:07:00,17:07,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
79,75,2026-04-13,2026-04-13T08:32:00,2026-04-13T17:16:00,17:16,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
80,76,2026-04-13,2026-04-13T08:37:00,2026-04-13T17:25:00,17:25,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
81,77,2026-04-13,2026-04-13T08:42:00,2026-04-13T17:34:00,17:34,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
82,78,2026-04-13,2026-04-13T08:47:00,2026-04-13T17:43:00,17:43,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
83,79,2026-04-13,2026-04-13T08:52:00,2026-04-13T17:52:00,17:52,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
84,80,2026-04-13,2026-04-13T08:57:00,2026-04-13T18:01:00,18:01,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
85,85,2026-04-13,2026-04-13T07:37:00,2026-04-13T16:11:00,16:11,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
86,86,2026-04-13,2026-04-13T07:42:00,2026-04-13T16:20:00,16:20,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
87,87,2026-04-13,2026-04-13T07:47:00,2026-04-13T16:29:00,16:29,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
88,88,2026-04-13,2026-04-13T07:52:00,2026-04-13T16:38:00,16:38,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
89,89,2026-04-13,,,,,欠席連絡あり,2026-04-13T07:00:00,2026-04-13T18:30:00
90,90,2026-04-13,2026-04-13T08:02:00,2026-04-13T16:56:00,16:56,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
91,91,2026-04-13,2026-04-13T08:07:00,2026-04-13T17:05:00,17:05,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
92,92,2026-04-13,2026-04-13T08:12:00,2026-04-13T17:14:00,17:14,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
93,93,2026-04-13,2026-04-13T08:17:00,2026-04-13T17:23:00,17:23,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
94,94,2026-04-13,2026-04-13T08:22:00,2026-04-13T17:32:00,17:32,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
95,95,2026-04-13,2026-04-13T08:27:00,2026-04-13T17:41:00,17:41,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
96,96,2026-04-13,2026-04-13T08:32:00,2026-04-13T17:50:00,17:50,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
97,97,2026-04-13,,,,,欠席連絡あり,2026-04-13T07:00:00,2026-04-13T18:30:00
98,98,2026-04-13,2026-04-13T08:42:00,2026-04-13T18:08:00,18:08,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
99,99,2026-04-13,2026-04-13T08:47:00,2026-04-13T18:17:00,18:17,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
100,100,2026-04-13,2026-04-13T08:52:00,2026-04-13T18:26:00,18:26,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
101,81,2026-04-14,2026-04-14T09:09:00,2026-04-14T18:21:00,18:21,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
102,37,2026-04-14,2026-04-14T08:59:00,2026-04-14T16:55:00,16:55,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
103,82,2026-04-14,2026-04-14T07:29:00,2026-04-14T18:30:00,18:30,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
104,19,2026-04-14,2026-04-14T07:29:00,2026-04-14T16:48:00,16:48,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
105,59,2026-04-14,2026-04-14T09:04:00,2026-04-14T17:38:00,17:38,父,少し早めのお迎え予定。,2026-04-14T07:00:00,2026-04-14T18:30:00
106,20,2026-04-14,2026-04-14T07:34:00,2026-04-14T16:57:00,16:57,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
107,60,2026-04-14,2026-04-14T09:09:00,2026-04-14T17:47:00,17:47,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
108,7,2026-04-14,2026-04-14T08:14:00,2026-04-14T17:35:00,17:35,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
109,38,2026-04-14,2026-04-14T09:04:00,2026-04-14T17:04:00,17:04,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
110,8,2026-04-14,2026-04-14T08:19:00,2026-04-14T17:44:00,17:44,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
111,39,2026-04-14,2026-04-14T09:09:00,2026-04-14T17:13:00,17:13,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
112,1,2026-04-14,2026-04-14T07:44:00,2026-04-14T16:41:00,16:41,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
113,21,2026-04-14,2026-04-14T07:39:00,2026-04-14T17:06:00,17:06,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
114,2,2026-04-14,2026-04-14T07:49:00,2026-04-14T16:50:00,16:50,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
115,61,2026-04-14,2026-04-14T07:29:00,2026-04-14T17:56:00,17:56,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
116,3,2026-04-14,2026-04-14T07:54:00,2026-04-14T16:59:00,16:59,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
117,83,2026-04-14,2026-04-14T07:34:00,2026-04-14T18:39:00,18:39,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
118,40,2026-04-14,,,,,欠席連絡あり,2026-04-14T07:00:00,2026-04-14T18:30:00
119,84,2026-04-14,2026-04-14T07:39:00,2026-04-14T16:13:00,16:13,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
120,22,2026-04-14,2026-04-14T07:44:00,2026-04-14T17:15:00,17:15,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
121,62,2026-04-14,2026-04-14T07:34:00,2026-04-14T18:05:00,18:05,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
122,23,2026-04-14,2026-04-14T07:49:00,2026-04-14T17:24:00,17:24,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
123,63,2026-04-14,2026-04-14T07:39:00,2026-04-14T18:14:00,18:14,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
124,9,2026-04-14,2026-04-14T08:24:00,2026-04-14T17:53:00,17:53,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
125,41,2026-04-14,2026-04-14T07:34:00,2026-04-14T17:31:00,17:31,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
126,10,2026-04-14,2026-04-14T08:29:00,2026-04-14T18:02:00,18:02,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
127,42,2026-04-14,2026-04-14T07:39:00,2026-04-14T17:40:00,17:40,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
128,4,2026-04-14,2026-04-14T07:59:00,2026-04-14T17:08:00,17:08,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
129,24,2026-04-14,2026-04-14T07:54:00,2026-04-14T17:33:00,17:33,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
130,5,2026-04-14,2026-04-14T08:04:00,2026-04-14T17:17:00,17:17,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
131,64,2026-04-14,2026-04-14T07:44:00,2026-04-14T18:23:00,18:23,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
132,6,2026-04-14,2026-04-14T08:09:00,2026-04-14T17:26:00,17:26,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
133,11,2026-04-14,2026-04-14T08:34:00,2026-04-14T18:11:00,18:11,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
134,12,2026-04-14,2026-04-14T08:39:00,2026-04-14T18:20:00,18:20,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
135,13,2026-04-14,,,,,欠席連絡あり,2026-04-14T07:00:00,2026-04-14T18:30:00
136,14,2026-04-14,2026-04-14T08:49:00,2026-04-14T18:38:00,18:38,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
137,15,2026-04-14,2026-04-14T08:54:00,2026-04-14T16:12:00,16:12,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
138,16,2026-04-14,2026-04-14T08:59:00,2026-04-14T16:21:00,16:21,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
139,17,2026-04-14,2026-04-14T09:04:00,2026-04-14T16:30:00,16:30,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
140,18,2026-04-14,2026-04-14T09:09:00,2026-04-14T16:39:00,16:39,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
141,25,2026-04-14,2026-04-14T07:59:00,2026-04-14T17:42:00,17:42,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
142,26,2026-04-14,2026-04-14T08:04:00,2026-04-14T17:51:00,17:51,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
143,27,2026-04-14,2026-04-14T08:09:00,2026-04-14T18:00:00,18:00,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
144,28,2026-04-14,2026-04-14T08:14:00,2026-04-14T18:09:00,18:09,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
145,29,2026-04-14,2026-04-14T08:19:00,2026-04-14T18:18:00,18:18,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
146,30,2026-04-14,2026-04-14T08:24:00,2026-04-14T18:27:00,18:27,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
147,31,2026-04-14,2026-04-14T08:29:00,2026-04-14T18:36:00,18:36,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
148,32,2026-04-14,2026-04-14T08:34:00,2026-04-14T16:10:00,16:10,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
149,33,2026-04-14,2026-04-14T08:39:00,2026-04-14T16:19:00,16:19,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
150,34,2026-04-14,2026-04-14T08:44:00,2026-04-14T16:28:00,16:28,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
151,35,2026-04-14,2026-04-14T08:49:00,2026-04-14T16:37:00,16:37,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
152,36,2026-04-14,2026-04-14T08:54:00,2026-04-14T16:46:00,16:46,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
153,43,2026-04-14,2026-04-14T07:44:00,2026-04-14T17:49:00,17:49,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
154,44,2026-04-14,2026-04-14T07:49:00,2026-04-14T17:58:00,17:58,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
155,45,2026-04-14,2026-04-14T07:54:00,2026-04-14T18:07:00,18:07,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
156,46,2026-04-14,2026-04-14T07:59:00,2026-04-14T18:16:00,18:16,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
157,47,2026-04-14,2026-04-14T08:04:00,2026-04-14T18:25:00,18:25,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
158,48,2026-04-14,2026-04-14T08:09:00,2026-04-14T18:34:00,18:34,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
159,49,2026-04-14,2026-04-14T08:14:00,2026-04-14T18:43:00,18:43,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
160,50,2026-04-14,2026-04-14T08:19:00,2026-04-14T16:17:00,16:17,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
161,51,2026-04-14,2026-04-14T08:24:00,2026-04-14T16:26:00,16:26,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
162,52,2026-04-14,2026-04-14T08:29:00,2026-04-14T16:35:00,16:35,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
163,53,2026-04-14,2026-04-14T08:34:00,2026-04-14T16:44:00,16:44,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
164,54,2026-04-14,2026-04-14T08:39:00,2026-04-14T16:53:00,16:53,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
165,55,2026-04-14,2026-04-14T08:44:00,2026-04-14T17:02:00,17:02,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
166,56,2026-04-14,2026-04-14T08:49:00,2026-04-14T17:11:00,17:11,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
167,57,2026-04-14,2026-04-14T08:54:00,2026-04-14T17:20:00,17:20,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
168,58,2026-04-14,2026-04-14T08:59:00,2026-04-14T17:29:00,17:29,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
169,65,2026-04-14,2026-04-14T07:49:00,2026-04-14T18:32:00,18:32,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
170,66,2026-04-14,2026-04-14T07:54:00,2026-04-14T18:41:00,18:41,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
171,67,2026-04-14,,,,,欠席連絡あり,2026-04-14T07:00:00,2026-04-14T18:30:00
172,68,2026-04-14,2026-04-14T08:04:00,2026-04-14T16:24:00,16:24,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
173,69,2026-04-14,2026-04-14T08:09:00,2026-04-14T16:33:00,16:33,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
174,70,2026-04-14,2026-04-14T08:14:00,2026-04-14T16:42:00,16:42,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
175,71,2026-04-14,2026-04-14T08:19:00,2026-04-14T16:51:00,16:51,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
176,72,2026-04-14,2026-04-14T08:24:00,2026-04-14T17:00:00,17:00,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
177,73,2026-04-14,2026-04-14T08:29:00,2026-04-14T17:09:00,17:09,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
178,74,2026-04-14,2026-04-14T08:34:00,2026-04-14T17:18:00,17:18,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
179,75,2026-04-14,2026-04-14T08:39:00,2026-04-14T17:27:00,17:27,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
180,76,2026-04-14,2026-04-14T08:44:00,2026-04-14T17:36:00,17:36,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
181,77,2026-04-14,,,,,連絡未確認の欠席扱い,2026-04-14T07:00:00,2026-04-14T18:30:00
182,78,2026-04-14,2026-04-14T08:54:00,2026-04-14T17:54:00,17:54,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
183,79,2026-04-14,2026-04-14T08:59:00,2026-04-14T18:03:00,18:03,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
184,80,2026-04-14,2026-04-14T09:04:00,2026-04-14T18:12:00,18:12,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
185,85,2026-04-14,2026-04-14T07:44:00,2026-04-14T16:22:00,16:22,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
186,86,2026-04-14,,,,,欠席連絡あり,2026-04-14T07:00:00,2026-04-14T18:30:00
187,87,2026-04-14,2026-04-14T07:54:00,2026-04-14T16:40:00,16:40,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
188,88,2026-04-14,2026-04-14T07:59:00,2026-04-14T16:49:00,16:49,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
189,89,2026-04-14,2026-04-14T08:04:00,2026-04-14T16:58:00,16:58,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
190,90,2026-04-14,2026-04-14T08:09:00,2026-04-14T17:07:00,17:07,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
191,91,2026-04-14,2026-04-14T08:14:00,2026-04-14T17:16:00,17:16,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
192,92,2026-04-14,2026-04-14T08:19:00,2026-04-14T17:25:00,17:25,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
193,93,2026-04-14,2026-04-14T08:24:00,2026-04-14T17:34:00,17:34,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
194,94,2026-04-14,,,,,欠席連絡あり,2026-04-14T07:00:00,2026-04-14T18:30:00
195,95,2026-04-14,2026-04-14T08:34:00,2026-04-14T17:52:00,17:52,父,,2026-04-14T07:00:00,2026-04-14T18:30:00
196,96,2026-04-14,2026-04-14T08:39:00,2026-04-14T18:01:00,18:01,祖母,,2026-04-14T07:00:00,2026-04-14T18:30:00
197,97,2026-04-14,2026-04-14T08:44:00,2026-04-14T18:10:00,18:10,保護者,,2026-04-14T07:00:00,2026-04-14T18:30:00
198,98,2026-04-14,2026-04-14T08:49:00,2026-04-14T18:19:00,18:19,母,,2026-04-14T07:00:00,2026-04-14T18:30:00
